code	label	xbrl_id	consumption_tax	income_tax
1	資産合計	jppfs_cor:AssetsAbstract
10	流動資産	jppfs_cor:CurrentAssetsAbstract
10XX	UNSETTLED_IMPORT
110	現金及び預金	jppfs_cor:CashAndDeposits
1101	現金
1102	小口現金
1103	普通預金
1104	当座預金
1105	定期預金
1106	通知預金
1107	納税準備預金
1108	別段預金
120	受取手形	jppfs_cor:NotesReceivableTrade
130	売掛金	jppfs_cor:AccountsReceivableTrade
140	短期貸付金	jppfs_cor:ShortTermLoansReceivable
150	未収入金	jppfs_cor:AccountsReceivableOther
1501	未収消費税等
1502	未収法人税			
1503	未収都道府県住民税			
1504	未収地方事業税			
1505	未収市町村住民税			
160	棚卸資産	jppfs_cor:Inventories
161	商品	jppfs_cor:Merchandize
162	製品	jppfs_cor:FinishedGoods
163	仕掛品	jppfs_cor:WorkInProcess
164	貯蔵品	jppfs_cor:Supplies
180	その他流動資産	jppfs_cor:OtherCA
181	前渡金	jppfs_cor:AdvancePaymentsTrade
182	前払費用	jppfs_cor:AdvancePaymentsOther
183	立替金	jppfs_cor:AdvancesPaid
184	仮払金	jppfs_cor:SuspensePayments
1841	仮払消費税等
185	仮払税金			
1851	仮払法人税			
1852	仮払法人税(地方)			
1854	仮払地方税特別法人事業税			
1855	仮払地方税所得割			
1856	仮払地方税収入割			
1857	仮払地方税資本割			
1858	仮払地方税付加価値割			
1859	仮払地方税法人税割			
185A	仮払地方税均等割			
185B	仮払消費税
185C	仮払地方消費税
30	固定資産	jppfs_cor:NonCurrentAssetsAbstract
31	有形固定資産	jppfs_cor:PropertyPlantAndEquipmentAbstract
311	建物	jppfs_cor:Buildings
312	構築物	jppfs_cor:Structures
313	機械装置	jppfs_cor:MachineryAndEquipment
314	車両運搬具	jppfs_cor:Vehicles
315	工具器具備品	jppfs_cor:ToolsFurnitureAndFixtures
316	土地	jppfs_cor:Land
317	建設仮勘定	jppfs_cor:ConstructionInProgress
318	船舶	jppfs_cor:Vessels
