code	label	xbrl_id	consumption_tax	income_tax
10	流動資産	jppfs_cor:CurrentAssetsAbstract
10XX	UNSETTLED_IMPORT
110	現金及び預金	jppfs_cor:CashAndDeposits
1101	現金
1102	小口現金
1103	普通預金
1104	当座預金
1105	定期預金
1106	通知預金
1107	納税準備預金
1108	別段預金
120	受取手形	jppfs_cor:NotesReceivableTrade
130	売掛金	jppfs_cor:AccountsReceivableTrade
140	短期貸付金	jppfs_cor:ShortTermLoansReceivable
150	未収入金	jppfs_cor:AccountsReceivableOther
160	棚卸資産	jppfs_cor:Inventories
161	商品	jppfs_cor:Merchandize
162	製品	jppfs_cor:FinishedGoods
163	仕掛品	jppfs_cor:WorkInProcess
164	貯蔵品	jppfs_cor:Supplies
180	その他流動資産	jppfs_cor:OtherCA
181	前渡金	jppfs_cor:AdvancePaymentsTrade
182	前払費用	jppfs_cor:AdvancePaymentsOther
183	立替金	jppfs_cor:AdvancesPaid
184	仮払金	jppfs_cor:SuspensePayments
40	固定資産	jppfs_cor:NonCurrentAssetsAbstract
410	有形固定資産	jppfs_cor:PropertyPlantAndEquipmentAbstract
411	建物	jppfs_cor:Buildings
412	構築物	jppfs_cor:Structures
413	機械装置	jppfs_cor:MachineryAndEquipment
414	車両運搬具	jppfs_cor:Vehicles
415	工具器具備品	jppfs_cor:ToolsFurnitureAndFixtures
416	土地	jppfs_cor:Land
417	建設仮勘定	jppfs_cor:ConstructionInProgress
418	船舶	jppfs_cor:Vessels
420	無形固定資産	jppfs_cor:IntansibleAssetsAbstract
421	ソフトウェア	jppfs_cor:Software
422	のれん	jppfs_cor:Goodwill
423	特許権	jppfs_cor:PatentRight
424	借地権	jppfs_cor:LeaseholdRight
425	商標権	jppfs_cor:RightOfTrademark
426	電話加入権	jppfs_cor:TelephoneSubscriptionRight
430	投資その他の資産	jppfs_cor:InvestmentsAndOtherAssetsAbstract
431	投資有価証券	jppfs_cor:InvestmentSecurities
432	関係会社株式	jppfs_cor:StocksOfSubsidiariesAndAffiliates
433	長期貸付金	jppfs_cor:LongTermLoansReceivable
434	破産更正債権	jppfs_cor:ClaimsProvableInBankruptcyClaimsProvableInRehabilitationAndOther
435	長期前払費用	jppfs_cor:LongTermPrepaidExpenses
436	敷金保証金	jppfs_cor:LeaseAndGuaranteeDeposits
437	繰延税金資産	jppfs_cor:DiferredTaxAssets
440	繰延資産	jppfs_cor:DeferredAssets
441	開業費	jppfs_cor:BusinessCommencementExpensesDA
442	創立費	jppfs_cor:DeferredOrganisationExpensesDA
442	新株発行費	jppfs_cor:StockIssuanceCostDA
443	社債発行費	jppfs_cor:BondIssuanceCostDA
50	流動負債	jppfs_cor:CurrentLiabilitiesAbstract
50XX	UNSETTLED_IMPORT
510	支払手形	jppfs_cor:NotePayableTrade
511	買掛金	jppfs_cor:AccountsPayableTrade
512	短期借入金	jppfs_cor:ShortTermLoansPayable
513	コマーシャルペーパー	jppfs_cor:CommercialPapersLiabilities
514	未払金	jppfs_cor:AccountsPayableOther
515	未払法人税等	jppfs_cor:IncomeTaxesPayable
516	未払消費税等	jppfs_cor:AccruedConsumptionTaxes
517	未払費用	jppfs_cor:AccruedExpenses
518	前受金	jppfs_cor:AdvancesReceived
519	預り金	jppfs_cor:DepositsReceived
51A	仮受金	jppfs_cor:SuspenseReceipt
70	固定負債	jppfs_cor:NoncurrentLiabilitiesAbstract
711	社債	jppfs_cor:BondsPayable
712	長期借入金	jppfs_cor:LongTermLoansPayable
713	退職給付引当金	jppfs_cor:ProvisionForRetirementBenefits
714	繰延税金負債	jppfs_cor:DeferredTaxLiabilities
90	純資産	jppfs_cor:NetAssetsAbstract
91	株主資本	jppfs_cor:ShareholdersAbstract
911	資本金	jppfs_cor:CapitalStock
912	新株式申込証拠金
913	資本剰余金	jppfs_cor:LegalCapitalSurplus
9131	資本準備金
9132	その他資本剰余金
914	利益剰余金	jppfs_cor:RetainedEarnings
9141	利益準備金
9142	その他利益剰余金
915	自己株式	jppfs_cor:TreasuryStock
916	自己株式申込証拠金
92	評価換算差額等	jppfs_cor:ValuationAndTranslationAdjustments
921	有価証券評価差額金	jppfs_cor:ValuationDifferenceOnAvailableForSaleSecurities
922	為替換算調整勘定	jppfs_cor:ForeignCurrencyTranslationAdjustment
93	新株予約権	jppfs_cor:SubscriptionRightsToShares
940	非支配株主持分	jppfs_cor:NonControllingInterests
A0	売上	jppfs_cor:NetSalesAbstract
A11	売上高	jppfs_cor:NetSales
B0	売上原価	jppfs_cor:CostOfSalesAbstract
B11	仕入	jppfs_cor:TotalPurchaseOfGoods
B12	材料費	jppfs_cor:CostOfRawMaterialSalesCOSExpOA
B13	当期製品製造原価	jppfs_cor:CostOfProductsManufactured
B131	労務費
BA	粗利益	jppfs_cor:GrossProfit
C0	販売費及び一般管理費	jppfs_cor:SellingGeneralAndAdministrativeExpensesAbstract
C11	役員報酬	jppfs_cor:DirectorsCompensationsSGA
C111	役員賞与
C12	給料手当	jppfs_cor:SalariesSGA
C13	賞与	jppfs_cor:BonusesSGA
C14	賃金	jpfrs_cor:WagesSGA
C15	退職金	jppfs_cor:RetirementPaymentsSGA
C16	法定福利費	jppfs_cor:LegalWelfareExpensesSGA
C17	旅費交通費	jppfs_cor:TravellingAndTransportationExpensesSGA
C18	通信費	jppfs_cor:CommunicationExpensesSGA
C19	修繕費	jppfs_cor:RepairExpensesSGA
C1A	広告宣伝費	jppfs_cor:AdvertisingExpensesSGA
C1B	接待交際費	jppfs_cor:EntertainmentExpensesSGA
C1C	荷造運賃	jppfs_cor:FreightageAndPackingExpensesSGA
C1D	福利厚生費	jppfs_cor:WelfareExpensesSGA
C1E	地代家賃	jppfs_cor:RentsSGA
C1F	水道光熱費	jppfs_cor:UtilitiesExpensesSGA
C1G	消耗品費	jppfs_cor:SuppliesExpensesSGA
C1H	保険料	jppfs_cor:InsuranceExpensesSGA
C1I	租税公課	jppfs_cor:TaxesAndDuesSGA
C1J	賃借料	jppfs_cor:RentExpensesSGA
C1K	新聞図書費	jppfs_cor:BookExpensesSGA
C1L	貸倒損失	jppfs_cor:BadDebtsExpensesSGA
