code	label	xbrl_id
ASET:c911	新株の発行、資本金	jpfr-t-cte:IssuanceOfNewSharesCAP
912:c911	新株の発行、資本金	jpfr-t-cte:IssuanceOfNewSharesCAP
93:c911	新株の発行（新株予約権の行使）、資本金	jpfr-t-cte:IssuanceOfNewSharesExerciseOfSubscriptionRightsToSharesCAP
ASET:c911DEBT	合併による増加、資本金	jpfr-t-cte:IncreaseByMergerCAP
ASET:c911DEBT:split	会社分割による増加、資本金	jpfr-t-cte:IncreaseByCorporateDivisionCAP
33:c911	株式交換による増加、資本金	jpfr-t-cte:IncreaseByShareTransfersCAP
33:c911:transfer	株式移転による増加、資本金	jpfr-t-cte:IncreaseByShareExchangesCAP
d911ASET:DEBT	分割型の会社分割による減少、資本金	jpfr-t-cte:DecreaseByCorporateDivisionSplitOffTypeCAP
d911:9131	資本金から準備金への振替、資本金	jpfr-t-cte:TransferToLegalCapitalSurplusFromCapitalStockCAP
d911:9132	資本金から剰余金への振替、資本金	jpfr-t-cte:TransferToOtherCapitalSurplusFromCapitalStockCAP
9131:c911	準備金から資本金への振替、資本金	jpfr-t-cte:TransferToCapitalStockFromLegalCapitalSurplusCAP
d911:914	減資、資本金	jpfr-t-cte:CapitalReductionCAP
911:911	当期変動額合計、資本金	jpfr-t-cte:TotalChangesOfItemsDuringThePeriodCAP
ASET:c9131	新株の発行、資本準備金	jpfr-t-cte:IssuanceOfNewSharesLCS
912:c9131	新株の発行、資本準備金	jpfr-t-cte:IssuanceOfNewSharesLCS
93:c9131	新株の発行（新株予約権の行使）、資本準備金	jpfr-t-cte:IssuanceOfNewSharesExerciseOfSubscriptionRightsToSharesLCS
ASET:c9131DEBT	合併による増加、資本準備金	jpfr-t-cte:IncreaseByMergerLCS
ASET:c9131DEBT:split	会社分割による増加、資本準備金	jpfr-t-cte:IncreaseByCorporateDivisionLCS
33:c9131	株式交換による増加、資本準備金	jpfr-t-cte:IncreaseByShareExchangesLCS
33:c9131:transfer	株式移転による増加、資本準備金	jpfr-t-cte:IncreaseByShareTransfersLCS
d9131ASET:DEBT	分割型の会社分割による減少、資本準備金	jpfr-t-cte:DecreaseByCorporateDivisionSplitOffTypeLCS
911:c9131	資本金から準備金への振替、資本準備金	jpfr-t-cte:TransferToLegalCapitalSurplusFromCapitalStockLCS
d9131:911	準備金から資本金への振替、資本準備金	jpfr-t-cte:TransferToCapitalStockFromLegalCapitalSurplusLCS
d9131:9132	準備金から剰余金への振替、資本準備金	jpfr-t-cte:TransferToOtherCapitalSurplusFromLegalCapitalSurplusLCS
d9131:_914	欠損填補、資本準備金	jpfr-t-cte:DeficitDispositionLCS
d9131:914	資本準備金の取崩、資本準備金	jpfr-t-cte:ReversalOfLegalCapitalSurplusLCS
9131:9131	当期変動額合計、資本準備金	jpfr-t-cte:TotalChangesOfItemsDuringThePeriodLCS
d9132:ASET	剰余金（その他資本剰余金）の配当、その他資本剰余金	jpfr-t-cte:DividendsFromSurplusOtherCapitalSurplusOCS
d9132:DEBT	剰余金（その他資本剰余金）の配当、その他資本剰余金	jpfr-t-cte:DividendsFromSurplusOtherCapitalSurplusOCS
d9132:916	自己株式の処分、その他資本剰余金	jpfr-t-cte:DisposalOfTreasuryStockOCS
ASET:c9132DEBT	合併による増加、その他資本剰余金	jpfr-t-cte:IncreaseByMergerOCS
ASET:c9132DEBT:split	会社分割による増加、その他資本剰余金	jpfr-t-cte:IncreaseByCorporateDivisionOCS
33:c9132	株式交換による増加、その他資本剰余金	jpfr-t-cte:IncreaseByShareExchangesOCS
33:c9132:transfer	株式移転による増加、その他資本剰余金	jpfr-t-cte:IncreaseByShareTransfersOCS
d9132ASET:DEBT	分割型の会社分割による減少、その他資本剰余金	jpfr-t-cte:DecreaseByCorporateDivisionSplitOffTypeOCS
911:c9132	資本金から剰余金への振替、その他資本剰余金	jpfr-t-cte:TransferToOtherCapitalSurplusFromCapitalStockOCS
9131:c9132	準備金から剰余金への振替、その他資本剰余金	jpfr-t-cte:TransferToCapitalSurplusFromRetainedEarningsOCS
914:c9132	利益剰余金から資本剰余金への振替、その他資本剰余金	jpfr-t-cte:TransferToOtherCapitalSurplusFromLegalCapitalSurplusOCS
d9132:916	自己株式の消却、その他資本剰余金	jpfr-t-cte:RetirementOfTreasuryStockOCS
d9132:_914	欠損填補、その他資本剰余金	jpfr-t-cte:DeficitDispositionOCS
d9132:914	資本準備金の取崩、その他資本剰余金	jpfr-t-cte:ReversalOfLegalCapitalSurplusOCS
d9132:914	減資、その他資本剰余金	jpfr-t-cte:CapitalReductionOCS
9132:9132	当期変動額合計、その他資本剰余金	jpfr-t-cte:TotalChangesOfItemsDuringThePeriodOCS
915:ASET	剰余金の配当、利益準備金	jpfr-t-cte:DividendsFromSurplusLRE
